Date;Euro
29/02/2020 23:00:00;€ € 22,47
29/02/2020 22:00:00;€ € 20,35
29/02/2020 21:00:00;€ € 22,40
29/02/2020 20:00:00;€ € 31,56
29/02/2020 19:00:00;€ € 33,93
29/02/2020 18:00:00;€ € 29,15
29/02/2020 17:00:00;€ € 22,89
29/02/2020 16:00:00;€ € 23,60
29/02/2020 15:00:00;€ € 22,00
29/02/2020 14:00:00;€ € 22,29
29/02/2020 13:00:00;€ € 23,06
29/02/2020 12:00:00;€ € 23,66
29/02/2020 11:00:00;€ € 20,94
29/02/2020 10:00:00;€ € 19,29
29/02/2020 9:00:00;€ € 18,71
29/02/2020 8:00:00;€ € 15,93
29/02/2020 7:00:00;€ € 15,98
29/02/2020 6:00:00;€ € 10,60
29/02/2020 5:00:00;€ € 9,02
29/02/2020 4:00:00;€ € 9,60
29/02/2020 3:00:00;€ € 12,73
29/02/2020 2:00:00;€ € 15,36
29/02/2020 1:00:00;€ € 18,02
29/02/2020 0:00:00;€ € 17,10
28/02/2020 23:00:00;€ € 22,20
28/02/2020 22:00:00;€ € 24,44
28/02/2020 21:00:00;€ € 27,06
28/02/2020 20:00:00;€ € 27,77
28/02/2020 19:00:00;€ € 35,34
28/02/2020 18:00:00;€ € 34,78
28/02/2020 17:00:00;€ € 32,48
28/02/2020 16:00:00;€ € 29,82
28/02/2020 15:00:00;€ € 27,10
28/02/2020 14:00:00;€ € 26,12
28/02/2020 13:00:00;€ € 26,00
28/02/2020 12:00:00;€ € 25,91
28/02/2020 11:00:00;€ € 31,72
28/02/2020 10:00:00;€ € 37,81
28/02/2020 9:00:00;€ € 40,12
28/02/2020 8:00:00;€ € 43,88
28/02/2020 7:00:00;€ € 40,74
28/02/2020 6:00:00;€ € 35,04
28/02/2020 5:00:00;€ € 30,77
28/02/2020 4:00:00;€ € 25,72
28/02/2020 3:00:00;€ € 25,71
28/02/2020 2:00:00;€ € 26,12
28/02/2020 1:00:00;€ € 29,11
28/02/2020 0:00:00;€ € 30,44
27/02/2020 23:00:00;€ € 26,65
27/02/2020 22:00:00;€ € 33,77
27/02/2020 21:00:00;€ € 35,68
27/02/2020 20:00:00;€ € 39,13
27/02/2020 19:00:00;€ € 48,06
27/02/2020 18:00:00;€ € 46,78
27/02/2020 17:00:00;€ € 39,55
27/02/2020 16:00:00;€ € 35,16
27/02/2020 15:00:00;€ € 37,11
27/02/2020 14:00:00;€ € 38,31
27/02/2020 13:00:00;€ € 38,58
27/02/2020 12:00:00;€ € 38,82
27/02/2020 11:00:00;€ € 40,05
27/02/2020 10:00:00;€ € 40,15
27/02/2020 9:00:00;€ € 42,41
27/02/2020 8:00:00;€ € 44,42
27/02/2020 7:00:00;€ € 42,28
27/02/2020 6:00:00;€ € 36,80
27/02/2020 5:00:00;€ € 28,81
27/02/2020 4:00:00;€ € 25,45
27/02/2020 3:00:00;€ € 25,17
27/02/2020 2:00:00;€ € 27,04
27/02/2020 1:00:00;€ € 28,54
27/02/2020 0:00:00;€ € 31,57
26/02/2020 23:00:00;€ € 28,20
26/02/2020 22:00:00;€ € 32,08
26/02/2020 21:00:00;€ € 33,83
26/02/2020 20:00:00;€ € 36,71
26/02/2020 19:00:00;€ € 42,17
26/02/2020 18:00:00;€ € 38,46
26/02/2020 17:00:00;€ € 33,97
26/02/2020 16:00:00;€ € 30,40
26/02/2020 15:00:00;€ € 28,81
26/02/2020 14:00:00;€ € 28,14
26/02/2020 13:00:00;€ € 30,45
26/02/2020 12:00:00;€ € 32,10
26/02/2020 11:00:00;€ € 33,13
26/02/2020 10:00:00;€ € 34,02
26/02/2020 9:00:00;€ € 37,01
26/02/2020 8:00:00;€ € 37,64
26/02/2020 7:00:00;€ € 35,38
26/02/2020 6:00:00;€ € 31,24
26/02/2020 5:00:00;€ € 25,01
26/02/2020 4:00:00;€ € 24,08
26/02/2020 3:00:00;€ € 23,53
26/02/2020 2:00:00;€ € 24,35
26/02/2020 1:00:00;€ € 25,20
26/02/2020 0:00:00;€ € 25,56
25/02/2020 23:00:00;€ € 26,46
25/02/2020 22:00:00;€ € 29,90
25/02/2020 21:00:00;€ € 30,10
25/02/2020 20:00:00;€ € 35,21
25/02/2020 19:00:00;€ € 40,26
25/02/2020 18:00:00;€ € 36,02
25/02/2020 17:00:00;€ € 29,71
25/02/2020 16:00:00;€ € 27,00
25/02/2020 15:00:00;€ € 25,53
25/02/2020 14:00:00;€ € 24,51
25/02/2020 13:00:00;€ € 25,56
25/02/2020 12:00:00;€ € 26,75
25/02/2020 11:00:00;€ € 28,18
25/02/2020 10:00:00;€ € 27,50
25/02/2020 9:00:00;€ € 35,70
25/02/2020 8:00:00;€ € 39,45
25/02/2020 7:00:00;€ € 31,85
25/02/2020 6:00:00;€ € 25,84
25/02/2020 5:00:00;€ € 19,81
25/02/2020 4:00:00;€ € 16,61
25/02/2020 3:00:00;€ € 18,84
25/02/2020 2:00:00;€ € 20,13
25/02/2020 1:00:00;€ € 20,97
25/02/2020 0:00:00;€ € 22,40
24/02/2020 23:00:00;€ € 24,92
24/02/2020 22:00:00;€ € 24,60
24/02/2020 21:00:00;€ € 23,91
24/02/2020 20:00:00;€ € 28,76
24/02/2020 19:00:00;€ € 35,11
24/02/2020 18:00:00;€ € 36,10
24/02/2020 17:00:00;€ € 29,21
24/02/2020 16:00:00;€ € 26,97
24/02/2020 15:00:00;€ € 28,14
24/02/2020 14:00:00;€ € 32,02
24/02/2020 13:00:00;€ € 33,41
24/02/2020 12:00:00;€ € 35,76
24/02/2020 11:00:00;€ € 39,21
24/02/2020 10:00:00;€ € 40,37
24/02/2020 9:00:00;€ € 43,00
24/02/2020 8:00:00;€ € 45,26
24/02/2020 7:00:00;€ € 43,00
24/02/2020 6:00:00;€ € 35,91
24/02/2020 5:00:00;€ € 26,61
24/02/2020 4:00:00;€ € 19,27
24/02/2020 3:00:00;€ € 22,36
24/02/2020 2:00:00;€ € 34,40
24/02/2020 1:00:00;€ € 36,64
24/02/2020 0:00:00;€ € 45,02
23/02/2020 23:00:00;€ € 40,95
23/02/2020 22:00:00;€ € 40,82
23/02/2020 21:00:00;€ € 30,25
23/02/2020 20:00:00;€ € 40,10
23/02/2020 19:00:00;€ € 44,22
23/02/2020 18:00:00;€ € 28,56
23/02/2020 17:00:00;€ € 19,85
23/02/2020 16:00:00;€ € 12,96
23/02/2020 15:00:00;€ € 12,71
23/02/2020 14:00:00;€ € 13,95
23/02/2020 13:00:00;€ € 18,12
23/02/2020 12:00:00;€ € 23,90
23/02/2020 11:00:00;€ € 24,97
23/02/2020 10:00:00;€ € 23,67
23/02/2020 9:00:00;€ € 20,92
23/02/2020 8:00:00;€ € 24,30
23/02/2020 7:00:00;€ € 22,92
23/02/2020 6:00:00;€ € 11,46
23/02/2020 5:00:00;€ € 20,77
