Date;Euro
30/09/2024 23:00:00;€ € 9,84
30/09/2024 22:00:00;€ € 20,28
30/09/2024 21:00:00;€ € 23,90
30/09/2024 20:00:00;€ € 44,08
30/09/2024 19:00:00;€ € 63,05
30/09/2024 18:00:00;€ € 34,01
30/09/2024 17:00:00;€ € 34,07
30/09/2024 16:00:00;€ € 22,09
30/09/2024 15:00:00;€ € 10,90
30/09/2024 14:00:00;€ € 5,41
30/09/2024 13:00:00;€ € 0,91
30/09/2024 12:00:00;€ € 4,13
30/09/2024 11:00:00;€ € 8,64
30/09/2024 10:00:00;€ € 18,38
30/09/2024 9:00:00;€ € 43,04
30/09/2024 8:00:00;€ € 69,50
30/09/2024 7:00:00;€ € 50,21
30/09/2024 6:00:00;€ € 34,70
30/09/2024 5:00:00;€ € 8,35
30/09/2024 4:00:00;€ € 2,77
30/09/2024 3:00:00;€ € 2,60
30/09/2024 2:00:00;€ € 4,00
30/09/2024 1:00:00;€ € 5,42
30/09/2024 0:00:00;€ € 12,93
29/09/2024 23:00:00;€ € 37,32
29/09/2024 22:00:00;€ € 64,09
29/09/2024 21:00:00;€ € 65,08
29/09/2024 20:00:00;€ € 69,47
29/09/2024 19:00:00;€ € 103,02
29/09/2024 18:00:00;€ € 74,60
29/09/2024 17:00:00;€ € 52,36
29/09/2024 16:00:00;€ € 20,63
29/09/2024 15:00:00;€ € 0,00
29/09/2024 14:00:00;€ € -0,45
29/09/2024 13:00:00;€ € -0,50
29/09/2024 12:00:00;€ € -0,01
29/09/2024 11:00:00;€ € 0,00
29/09/2024 10:00:00;€ € 1,33
29/09/2024 9:00:00;€ € 37,72
29/09/2024 8:00:00;€ € 61,66
29/09/2024 7:00:00;€ € 62,00
29/09/2024 6:00:00;€ € 48,10
29/09/2024 5:00:00;€ € 42,77
29/09/2024 4:00:00;€ € 46,75
29/09/2024 3:00:00;€ € 54,39
29/09/2024 2:00:00;€ € 52,45
29/09/2024 1:00:00;€ € 65,14
29/09/2024 0:00:00;€ € 74,94
28/09/2024 23:00:00;€ € 79,84
28/09/2024 22:00:00;€ € 84,51
28/09/2024 21:00:00;€ € 88,52
28/09/2024 20:00:00;€ € 109,86
28/09/2024 19:00:00;€ € 115,25
28/09/2024 18:00:00;€ € 81,53
28/09/2024 17:00:00;€ € 55,35
28/09/2024 16:00:00;€ € 9,84
28/09/2024 15:00:00;€ € 0,06
28/09/2024 14:00:00;€ € 0,00
28/09/2024 13:00:00;€ € 0,00
28/09/2024 12:00:00;€ € 0,67
28/09/2024 11:00:00;€ € 3,92
28/09/2024 10:00:00;€ € 10,00
28/09/2024 9:00:00;€ € 25,96
28/09/2024 8:00:00;€ € 31,02
28/09/2024 7:00:00;€ € 27,92
28/09/2024 6:00:00;€ € 11,96
28/09/2024 5:00:00;€ € 4,15
28/09/2024 4:00:00;€ € 3,27
28/09/2024 3:00:00;€ € 3,16
28/09/2024 2:00:00;€ € 3,29
28/09/2024 1:00:00;€ € 3,03
28/09/2024 0:00:00;€ € 1,77
27/09/2024 23:00:00;€ € 25,70
27/09/2024 22:00:00;€ € 32,84
27/09/2024 21:00:00;€ € 38,53
27/09/2024 20:00:00;€ € 65,69
27/09/2024 19:00:00;€ € 69,74
27/09/2024 18:00:00;€ € 60,85
27/09/2024 17:00:00;€ € 38,65
27/09/2024 16:00:00;€ € 4,48
27/09/2024 15:00:00;€ € 0,28
27/09/2024 14:00:00;€ € -0,04
27/09/2024 13:00:00;€ € -3,06
27/09/2024 12:00:00;€ € -2,32
27/09/2024 11:00:00;€ € -1,62
27/09/2024 10:00:00;€ € -0,60
