Date;Euro
31/05/2021 23:00:00;€ € 72,67
31/05/2021 22:00:00;€ € 79,90
31/05/2021 21:00:00;€ € 82,00
31/05/2021 20:00:00;€ € 86,00
31/05/2021 19:00:00;€ € 85,14
31/05/2021 18:00:00;€ € 76,00
31/05/2021 17:00:00;€ € 62,30
31/05/2021 16:00:00;€ € 53,94
31/05/2021 15:00:00;€ € 54,69
31/05/2021 14:00:00;€ € 54,05
31/05/2021 13:00:00;€ € 55,26
31/05/2021 12:00:00;€ € 59,10
31/05/2021 11:00:00;€ € 60,69
31/05/2021 10:00:00;€ € 63,38
31/05/2021 9:00:00;€ € 77,90
31/05/2021 8:00:00;€ € 86,73
31/05/2021 7:00:00;€ € 85,98
31/05/2021 6:00:00;€ € 76,72
31/05/2021 5:00:00;€ € 58,61
31/05/2021 4:00:00;€ € 40,00
31/05/2021 3:00:00;€ € 55,02
31/05/2021 2:00:00;€ € 56,22
31/05/2021 1:00:00;€ € 57,30
31/05/2021 0:00:00;€ € 59,60
30/05/2021 23:00:00;€ € 66,07
30/05/2021 22:00:00;€ € 73,27
30/05/2021 21:00:00;€ € 71,22
30/05/2021 20:00:00;€ € 64,13
30/05/2021 19:00:00;€ € 62,46
30/05/2021 18:00:00;€ € 36,92
30/05/2021 17:00:00;€ € 10,00
30/05/2021 16:00:00;€ € -0,93
30/05/2021 15:00:00;€ € -9,90
30/05/2021 14:00:00;€ € -16,86
30/05/2021 13:00:00;€ € -3,05
30/05/2021 12:00:00;€ € 6,08
30/05/2021 11:00:00;€ € 8,00
30/05/2021 10:00:00;€ € 17,59
30/05/2021 9:00:00;€ € 31,96
30/05/2021 8:00:00;€ € 39,40
30/05/2021 7:00:00;€ € 42,12
30/05/2021 6:00:00;€ € 40,40
30/05/2021 5:00:00;€ € 39,10
30/05/2021 4:00:00;€ € 31,54
30/05/2021 3:00:00;€ € 48,90
30/05/2021 2:00:00;€ € 50,66
30/05/2021 1:00:00;€ € 55,07
30/05/2021 0:00:00;€ € 59,90
29/05/2021 23:00:00;€ € 66,13
29/05/2021 22:00:00;€ € 74,19
29/05/2021 21:00:00;€ € 72,02
29/05/2021 20:00:00;€ € 71,85
29/05/2021 19:00:00;€ € 67,90
29/05/2021 18:00:00;€ € 58,05
29/05/2021 17:00:00;€ € 45,95
29/05/2021 16:00:00;€ € 28,27
29/05/2021 15:00:00;€ € 15,83
29/05/2021 14:00:00;€ € 15,01
29/05/2021 13:00:00;€ € 31,03
29/05/2021 12:00:00;€ € 47,96
29/05/2021 11:00:00;€ € 52,20
29/05/2021 10:00:00;€ € 58,47
29/05/2021 9:00:00;€ € 63,94
29/05/2021 8:00:00;€ € 65,00
29/05/2021 7:00:00;€ € 64,91
29/05/2021 6:00:00;€ € 63,77
29/05/2021 5:00:00;€ € 62,42
29/05/2021 4:00:00;€ € 64,09
29/05/2021 3:00:00;€ € 64,77
29/05/2021 2:00:00;€ € 67,07
29/05/2021 1:00:00;€ € 68,37
29/05/2021 0:00:00;€ € 70,89
28/05/2021 23:00:00;€ € 75,59
28/05/2021 22:00:00;€ € 80,03
28/05/2021 21:00:00;€ € 80,10
28/05/2021 20:00:00;€ € 82,90
28/05/2021 19:00:00;€ € 83,67
28/05/2021 18:00:00;€ € 77,99
28/05/2021 17:00:00;€ € 72,09
28/05/2021 16:00:00;€ € 61,02
28/05/2021 15:00:00;€ € 60,00
28/05/2021 14:00:00;€ € 58,34
28/05/2021 13:00:00;€ € 60,61
28/05/2021 12:00:00;€ € 73,29
28/05/2021 11:00:00;€ € 76,00
28/05/2021 10:00:00;€ € 76,83
28/05/2021 9:00:00;€ € 84,38
28/05/2021 8:00:00;€ € 92,42
28/05/2021 7:00:00;€ € 93,01
28/05/2021 6:00:00;€ € 81,36
28/05/2021 5:00:00;€ € 67,93
28/05/2021 4:00:00;€ € 64,64
28/05/2021 3:00:00;€ € 62,03
28/05/2021 2:00:00;€ € 61,59
28/05/2021 1:00:00;€ € 63,00
28/05/2021 0:00:00;€ € 71,34
27/05/2021 23:00:00;€ € 79,71
27/05/2021 22:00:00;€ € 84,04
27/05/2021 21:00:00;€ € 85,91
27/05/2021 20:00:00;€ € 88,87
