Date;Euro
31/01/2024 23:00:00;€ € 41,96
31/01/2024 22:00:00;€ € 56,97
31/01/2024 21:00:00;€ € 59,33
31/01/2024 20:00:00;€ € 72,77
31/01/2024 19:00:00;€ € 81,04
31/01/2024 18:00:00;€ € 89,26
31/01/2024 17:00:00;€ € 80,96
31/01/2024 16:00:00;€ € 72,23
31/01/2024 15:00:00;€ € 69,23
31/01/2024 14:00:00;€ € 66,07
31/01/2024 13:00:00;€ € 66,93
31/01/2024 12:00:00;€ € 74,91
31/01/2024 11:00:00;€ € 77,09
31/01/2024 10:00:00;€ € 82,98
31/01/2024 9:00:00;€ € 93,38
31/01/2024 8:00:00;€ € 120,06
31/01/2024 7:00:00;€ € 99,21
31/01/2024 6:00:00;€ € 84,57
31/01/2024 5:00:00;€ € 73,91
31/01/2024 4:00:00;€ € 69,19
31/01/2024 3:00:00;€ € 69,82
31/01/2024 2:00:00;€ € 70,89
31/01/2024 1:00:00;€ € 71,96
31/01/2024 0:00:00;€ € 75,10
30/01/2024 23:00:00;€ € 76,34
30/01/2024 22:00:00;€ € 79,59
30/01/2024 21:00:00;€ € 79,18
30/01/2024 20:00:00;€ € 88,31
30/01/2024 19:00:00;€ € 101,39
30/01/2024 18:00:00;€ € 99,49
30/01/2024 17:00:00;€ € 88,42
30/01/2024 16:00:00;€ € 80,22
30/01/2024 15:00:00;€ € 75,00
30/01/2024 14:00:00;€ € 71,93
30/01/2024 13:00:00;€ € 68,23
30/01/2024 12:00:00;€ € 68,10
30/01/2024 11:00:00;€ € 70,10
30/01/2024 10:00:00;€ € 77,15
30/01/2024 9:00:00;€ € 84,93
30/01/2024 8:00:00;€ € 95,94
30/01/2024 7:00:00;€ € 90,82
30/01/2024 6:00:00;€ € 78,70
30/01/2024 5:00:00;€ € 69,37
30/01/2024 4:00:00;€ € 65,29
30/01/2024 3:00:00;€ € 66,06
30/01/2024 2:00:00;€ € 69,37
30/01/2024 1:00:00;€ € 68,70
30/01/2024 0:00:00;€ € 71,94
29/01/2024 23:00:00;€ € 80,29
29/01/2024 22:00:00;€ € 82,90
29/01/2024 21:00:00;€ € 83,39
29/01/2024 20:00:00;€ € 88,56
29/01/2024 19:00:00;€ € 107,52
29/01/2024 18:00:00;€ € 112,92
29/01/2024 17:00:00;€ € 105,06
29/01/2024 16:00:00;€ € 94,46
29/01/2024 15:00:00;€ € 88,77
29/01/2024 14:00:00;€ € 80,41
29/01/2024 13:00:00;€ € 74,44
29/01/2024 12:00:00;€ € 70,24
29/01/2024 11:00:00;€ € 71,27
29/01/2024 10:00:00;€ € 78,90
29/01/2024 9:00:00;€ € 88,39
29/01/2024 8:00:00;€ € 99,21
29/01/2024 7:00:00;€ € 90,51
29/01/2024 6:00:00;€ € 80,34
29/01/2024 5:00:00;€ € 60,06
29/01/2024 4:00:00;€ € 51,58
29/01/2024 3:00:00;€ € 47,97
29/01/2024 2:00:00;€ € 48,12
29/01/2024 1:00:00;€ € 47,26
29/01/2024 0:00:00;€ € 49,97
28/01/2024 23:00:00;€ € 56,00
28/01/2024 22:00:00;€ € 59,91
28/01/2024 21:00:00;€ € 58,04
28/01/2024 20:00:00;€ € 69,09
28/01/2024 19:00:00;€ € 70,72
28/01/2024 18:00:00;€ € 73,11
28/01/2024 17:00:00;€ € 67,73
28/01/2024 16:00:00;€ € 53,50
28/01/2024 15:00:00;€ € 45,42
28/01/2024 14:00:00;€ € 44,31
28/01/2024 13:00:00;€ € 40,22
28/01/2024 12:00:00;€ € 41,78
28/01/2024 11:00:00;€ € 46,48
28/01/2024 10:00:00;€ € 51,73
28/01/2024 9:00:00;€ € 55,42
28/01/2024 8:00:00;€ € 57,00
28/01/2024 7:00:00;€ € 54,74
28/01/2024 6:00:00;€ € 52,62
28/01/2024 5:00:00;€ € 51,90
28/01/2024 4:00:00;€ € 51,24
28/01/2024 3:00:00;€ € 52,51
28/01/2024 2:00:00;€ € 55,71
28/01/2024 1:00:00;€ € 59,33
28/01/2024 0:00:00;€ € 66,77
27/01/2024 23:00:00;€ € 72,70
