Date;Euro
31/01/2022 23:00:00;€ € 225,40
31/01/2022 22:00:00;€ € 228,97
31/01/2022 21:00:00;€ € 228,31
31/01/2022 20:00:00;€ € 220,00
31/01/2022 19:00:00;€ € 259,34
31/01/2022 18:00:00;€ € 253,74
31/01/2022 17:00:00;€ € 240,67
31/01/2022 16:00:00;€ € 193,64
31/01/2022 15:00:00;€ € 191,87
31/01/2022 14:00:00;€ € 205,73
31/01/2022 13:00:00;€ € 220,41
31/01/2022 12:00:00;€ € 237,52
31/01/2022 11:00:00;€ € 243,00
31/01/2022 10:00:00;€ € 248,08
31/01/2022 9:00:00;€ € 251,92
31/01/2022 8:00:00;€ € 247,44
31/01/2022 7:00:00;€ € 240,00
31/01/2022 6:00:00;€ € 176,81
31/01/2022 5:00:00;€ € 135,40
31/01/2022 4:00:00;€ € 100,13
31/01/2022 3:00:00;€ € 105,71
31/01/2022 2:00:00;€ € 118,63
31/01/2022 1:00:00;€ € 146,50
31/01/2022 0:00:00;€ € 139,39
30/01/2022 23:00:00;€ € 172,87
30/01/2022 22:00:00;€ € 190,00
30/01/2022 21:00:00;€ € 201,49
30/01/2022 20:00:00;€ € 220,76
30/01/2022 19:00:00;€ € 238,92
30/01/2022 18:00:00;€ € 298,42
30/01/2022 17:00:00;€ € 238,77
30/01/2022 16:00:00;€ € 216,90
30/01/2022 15:00:00;€ € 209,03
30/01/2022 14:00:00;€ € 201,20
30/01/2022 13:00:00;€ € 180,40
30/01/2022 12:00:00;€ € 200,00
30/01/2022 11:00:00;€ € 146,50
30/01/2022 10:00:00;€ € 223,53
30/01/2022 9:00:00;€ € 229,00
30/01/2022 8:00:00;€ € 201,20
30/01/2022 7:00:00;€ € 150,00
30/01/2022 6:00:00;€ € 141,44
30/01/2022 5:00:00;€ € 139,80
30/01/2022 4:00:00;€ € 133,82
30/01/2022 3:00:00;€ € 135,67
30/01/2022 2:00:00;€ € 136,79
30/01/2022 1:00:00;€ € 138,98
30/01/2022 0:00:00;€ € 130,10
29/01/2022 23:00:00;€ € 146,60
29/01/2022 22:00:00;€ € 50,47
29/01/2022 21:00:00;€ € 48,06
29/01/2022 20:00:00;€ € 54,60
29/01/2022 19:00:00;€ € 106,67
29/01/2022 18:00:00;€ € 200,00
29/01/2022 17:00:00;€ € 220,00
29/01/2022 16:00:00;€ € 146,60
29/01/2022 15:00:00;€ € 87,39
29/01/2022 14:00:00;€ € 79,71
29/01/2022 13:00:00;€ € 11,38
29/01/2022 12:00:00;€ € 70,44
29/01/2022 11:00:00;€ € 125,00
29/01/2022 10:00:00;€ € 191,21
29/01/2022 9:00:00;€ € 154,12
29/01/2022 8:00:00;€ € 169,05
29/01/2022 7:00:00;€ € 155,58
29/01/2022 6:00:00;€ € 72,36
29/01/2022 5:00:00;€ € 100,00
29/01/2022 4:00:00;€ € 89,30
29/01/2022 3:00:00;€ € 100,00
29/01/2022 2:00:00;€ € 117,31
29/01/2022 1:00:00;€ € 102,50
29/01/2022 0:00:00;€ € 100,78
28/01/2022 23:00:00;€ € 176,98
28/01/2022 22:00:00;€ € 197,86
28/01/2022 21:00:00;€ € 209,78
28/01/2022 20:00:00;€ € 209,00
28/01/2022 19:00:00;€ € 203,40
28/01/2022 18:00:00;€ € 250,34
28/01/2022 17:00:00;€ € 260,00
28/01/2022 16:00:00;€ € 237,92
28/01/2022 15:00:00;€ € 237,08
28/01/2022 14:00:00;€ € 233,67
28/01/2022 13:00:00;€ € 233,83
28/01/2022 12:00:00;€ € 221,26
28/01/2022 11:00:00;€ € 230,01
28/01/2022 10:00:00;€ € 269,00
28/01/2022 9:00:00;€ € 289,23
28/01/2022 8:00:00;€ € 275,00
28/01/2022 7:00:00;€ € 250,73
28/01/2022 6:00:00;€ € 210,50
28/01/2022 5:00:00;€ € 178,20
28/01/2022 4:00:00;€ € 170,32
28/01/2022 3:00:00;€ € 174,30
28/01/2022 2:00:00;€ € 160,60
28/01/2022 1:00:00;€ € 163,92
28/01/2022 0:00:00;€ € 183,00
27/01/2022 23:00:00;€ € 244,90
27/01/2022 22:00:00;€ € 241,80
27/01/2022 21:00:00;€ € 180,00
27/01/2022 20:00:00;€ € 194,72
27/01/2022 19:00:00;€ € 224,91
27/01/2022 18:00:00;€ € 271,24
27/01/2022 17:00:00;€ € 240,90
27/01/2022 16:00:00;€ € 234,80
27/01/2022 15:00:00;€ € 225,00
27/01/2022 14:00:00;€ € 217,00
27/01/2022 13:00:00;€ € 237,00
27/01/2022 12:00:00;€ € 200,00
27/01/2022 11:00:00;€ € 229,60
27/01/2022 10:00:00;€ € 200,00
27/01/2022 9:00:00;€ € 242,50
27/01/2022 8:00:00;€ € 241,00
27/01/2022 7:00:00;€ € 201,00
27/01/2022 6:00:00;€ € 64,93
27/01/2022 5:00:00;€ € 171,10
27/01/2022 4:00:00;€ € 163,07
27/01/2022 3:00:00;€ € 162,00
27/01/2022 2:00:00;€ € 65,38
27/01/2022 1:00:00;€ € 178,00
27/01/2022 0:00:00;€ € 175,08
26/01/2022 23:00:00;€ € 189,75
26/01/2022 22:00:00;€ € 191,66
26/01/2022 21:00:00;€ € 182,10
26/01/2022 20:00:00;€ € 188,88
26/01/2022 19:00:00;€ € 187,27
26/01/2022 18:00:00;€ € 220,88
26/01/2022 17:00:00;€ € 250,90
26/01/2022 16:00:00;€ € 228,60
26/01/2022 15:00:00;€ € 224,79
26/01/2022 14:00:00;€ € 224,80
26/01/2022 13:00:00;€ € 238,00
26/01/2022 12:00:00;€ € 247,10
26/01/2022 11:00:00;€ € 280,00
26/01/2022 10:00:00;€ € 293,32
26/01/2022 9:00:00;€ € 280,30
26/01/2022 8:00:00;€ € 261,00
26/01/2022 7:00:00;€ € 272,62
26/01/2022 6:00:00;€ € 215,00
26/01/2022 5:00:00;€ € 198,89
26/01/2022 4:00:00;€ € 202,61
26/01/2022 3:00:00;€ € 202,43
26/01/2022 2:00:00;€ € 227,04
26/01/2022 1:00:00;€ € 214,00
26/01/2022 0:00:00;€ € 198,23
25/01/2022 23:00:00;€ € 208,44
25/01/2022 22:00:00;€ € 237,99
25/01/2022 21:00:00;€ € 259,30
25/01/2022 20:00:00;€ € 304,92
25/01/2022 19:00:00;€ € 373,75
25/01/2022 18:00:00;€ € 399,06
25/01/2022 17:00:00;€ € 366,43
25/01/2022 16:00:00;€ € 300,00
25/01/2022 15:00:00;€ € 313,00
25/01/2022 14:00:00;€ € 310,00
25/01/2022 13:00:00;€ € 304,51
25/01/2022 12:00:00;€ € 327,00
25/01/2022 11:00:00;€ € 347,40
25/01/2022 10:00:00;€ € 360,00
25/01/2022 9:00:00;€ € 399,01
25/01/2022 8:00:00;€ € 395,03
25/01/2022 7:00:00;€ € 303,06
25/01/2022 6:00:00;€ € 234,48
25/01/2022 5:00:00;€ € 214,02
25/01/2022 4:00:00;€ € 198,49
25/01/2022 3:00:00;€ € 196,24
25/01/2022 2:00:00;€ € 203,75
25/01/2022 1:00:00;€ € 212,90
25/01/2022 0:00:00;€ € 219,00
24/01/2022 23:00:00;€ € 200,00
24/01/2022 22:00:00;€ € 232,72
24/01/2022 21:00:00;€ € 250,00
24/01/2022 20:00:00;€ € 274,98
24/01/2022 19:00:00;€ € 315,31
24/01/2022 18:00:00;€ € 341,85
24/01/2022 17:00:00;€ € 307,38
24/01/2022 16:00:00;€ € 273,57
24/01/2022 15:00:00;€ € 256,49
24/01/2022 14:00:00;€ € 244,00
24/01/2022 13:00:00;€ € 240,08
24/01/2022 12:00:00;€ € 245,84
24/01/2022 11:00:00;€ € 270,00
24/01/2022 10:00:00;€ € 275,88
24/01/2022 9:00:00;€ € 299,39
24/01/2022 8:00:00;€ € 300,02
