Date;Euro
31/08/2020 23:00:00;€ € 45,00
31/08/2020 22:00:00;€ € 52,02
31/08/2020 21:00:00;€ € 64,86
31/08/2020 20:00:00;€ € 72,66
31/08/2020 19:00:00;€ € 79,06
31/08/2020 18:00:00;€ € 71,60
31/08/2020 17:00:00;€ € 65,49
31/08/2020 16:00:00;€ € 58,95
31/08/2020 15:00:00;€ € 54,99
31/08/2020 14:00:00;€ € 57,48
31/08/2020 13:00:00;€ € 60,00
31/08/2020 12:00:00;€ € 62,76
31/08/2020 11:00:00;€ € 65,41
31/08/2020 10:00:00;€ € 66,53
31/08/2020 9:00:00;€ € 68,84
31/08/2020 8:00:00;€ € 67,25
31/08/2020 7:00:00;€ € 59,94
31/08/2020 6:00:00;€ € 45,24
31/08/2020 5:00:00;€ € 34,39
31/08/2020 4:00:00;€ € 29,41
31/08/2020 3:00:00;€ € 28,43
31/08/2020 2:00:00;€ € 28,89
31/08/2020 1:00:00;€ € 33,87
31/08/2020 0:00:00;€ € 37,81
30/08/2020 23:00:00;€ € 37,00
30/08/2020 22:00:00;€ € 41,97
30/08/2020 21:00:00;€ € 43,13
30/08/2020 20:00:00;€ € 42,70
30/08/2020 19:00:00;€ € 39,08
30/08/2020 18:00:00;€ € 35,18
30/08/2020 17:00:00;€ € 31,41
30/08/2020 16:00:00;€ € 29,98
30/08/2020 15:00:00;€ € 29,23
30/08/2020 14:00:00;€ € 29,97
30/08/2020 13:00:00;€ € 30,05
30/08/2020 12:00:00;€ € 31,01
30/08/2020 11:00:00;€ € 31,93
30/08/2020 10:00:00;€ € 32,39
30/08/2020 9:00:00;€ € 32,25
30/08/2020 8:00:00;€ € 31,97
30/08/2020 7:00:00;€ € 30,74
30/08/2020 6:00:00;€ € 30,59
30/08/2020 5:00:00;€ € 30,98
30/08/2020 4:00:00;€ € 30,74
30/08/2020 3:00:00;€ € 31,34
30/08/2020 2:00:00;€ € 32,08
30/08/2020 1:00:00;€ € 34,98
30/08/2020 0:00:00;€ € 38,20
29/08/2020 23:00:00;€ € 39,26
29/08/2020 22:00:00;€ € 43,00
29/08/2020 21:00:00;€ € 44,99
29/08/2020 20:00:00;€ € 46,91
29/08/2020 19:00:00;€ € 46,39
