Date;Euro
30/09/2020 23:00:00;€ € 37,52
30/09/2020 22:00:00;€ € 45,09
30/09/2020 21:00:00;€ € 50,12
30/09/2020 20:00:00;€ € 55,34
30/09/2020 19:00:00;€ € 72,43
30/09/2020 18:00:00;€ € 60,14
30/09/2020 17:00:00;€ € 53,98
30/09/2020 16:00:00;€ € 48,94
30/09/2020 15:00:00;€ € 45,19
30/09/2020 14:00:00;€ € 45,04
30/09/2020 13:00:00;€ € 47,40
30/09/2020 12:00:00;€ € 49,17
30/09/2020 11:00:00;€ € 52,29
30/09/2020 10:00:00;€ € 55,16
30/09/2020 9:00:00;€ € 65,76
30/09/2020 8:00:00;€ € 72,80
30/09/2020 7:00:00;€ € 62,37
30/09/2020 6:00:00;€ € 50,75
30/09/2020 5:00:00;€ € 41,89
30/09/2020 4:00:00;€ € 37,79
30/09/2020 3:00:00;€ € 38,16
30/09/2020 2:00:00;€ € 43,84
30/09/2020 1:00:00;€ € 45,00
30/09/2020 0:00:00;€ € 50,74
29/09/2020 23:00:00;€ € 46,77
29/09/2020 22:00:00;€ € 51,57
29/09/2020 21:00:00;€ € 57,50
29/09/2020 20:00:00;€ € 73,14
29/09/2020 19:00:00;€ € 128,31
29/09/2020 18:00:00;€ € 73,69
29/09/2020 17:00:00;€ € 62,43
29/09/2020 16:00:00;€ € 56,95
29/09/2020 15:00:00;€ € 53,00
29/09/2020 14:00:00;€ € 52,24
29/09/2020 13:00:00;€ € 54,25
29/09/2020 12:00:00;€ € 59,37
29/09/2020 11:00:00;€ € 66,62
29/09/2020 10:00:00;€ € 69,40
29/09/2020 9:00:00;€ € 76,00
29/09/2020 8:00:00;€ € 84,65
29/09/2020 7:00:00;€ € 67,87
29/09/2020 6:00:00;€ € 51,58
29/09/2020 5:00:00;€ € 39,51
29/09/2020 4:00:00;€ € 36,48
29/09/2020 3:00:00;€ € 34,79
29/09/2020 2:00:00;€ € 37,00
29/09/2020 1:00:00;€ € 40,46
29/09/2020 0:00:00;€ € 42,38
28/09/2020 23:00:00;€ € 40,01
28/09/2020 22:00:00;€ € 46,16
28/09/2020 21:00:00;€ € 52,24
28/09/2020 20:00:00;€ € 58,00
28/09/2020 19:00:00;€ € 80,03
28/09/2020 18:00:00;€ € 61,14
28/09/2020 17:00:00;€ € 52,93
28/09/2020 16:00:00;€ € 48,46
28/09/2020 15:00:00;€ € 47,04
28/09/2020 14:00:00;€ € 46,00
28/09/2020 13:00:00;€ € 48,00
28/09/2020 12:00:00;€ € 49,16
28/09/2020 11:00:00;€ € 51,72
28/09/2020 10:00:00;€ € 53,00
28/09/2020 9:00:00;€ € 56,54
28/09/2020 8:00:00;€ € 59,31
28/09/2020 7:00:00;€ € 55,64
28/09/2020 6:00:00;€ € 47,04
28/09/2020 5:00:00;€ € 30,89
28/09/2020 4:00:00;€ € 28,72
28/09/2020 3:00:00;€ € 28,60
28/09/2020 2:00:00;€ € 29,50
28/09/2020 1:00:00;€ € 30,82
28/09/2020 0:00:00;€ € 33,30
27/09/2020 23:00:00;€ € 37,84
