Date;Euro
31/01/2025 23:00:00;€ € 131,45
31/01/2025 22:00:00;€ € 144,68
31/01/2025 21:00:00;€ € 152,70
31/01/2025 20:00:00;€ € 162,66
31/01/2025 19:00:00;€ € 178,99
31/01/2025 18:00:00;€ € 184,48
31/01/2025 17:00:00;€ € 151,24
31/01/2025 16:00:00;€ € 142,85
31/01/2025 15:00:00;€ € 138,96
31/01/2025 14:00:00;€ € 118,90
31/01/2025 13:00:00;€ € 121,19
31/01/2025 12:00:00;€ € 120,06
31/01/2025 11:00:00;€ € 126,20
31/01/2025 10:00:00;€ € 130,10
31/01/2025 9:00:00;€ € 154,82
31/01/2025 8:00:00;€ € 163,70
31/01/2025 7:00:00;€ € 153,94
31/01/2025 6:00:00;€ € 129,02
31/01/2025 5:00:00;€ € 118,25
31/01/2025 4:00:00;€ € 112,52
31/01/2025 3:00:00;€ € 109,67
31/01/2025 2:00:00;€ € 113,41
31/01/2025 1:00:00;€ € 116,04
31/01/2025 0:00:00;€ € 120,00
30/01/2025 23:00:00;€ € 120,20
30/01/2025 22:00:00;€ € 125,30
30/01/2025 21:00:00;€ € 131,71
30/01/2025 20:00:00;€ € 147,16
30/01/2025 19:00:00;€ € 161,16
30/01/2025 18:00:00;€ € 179,60
30/01/2025 17:00:00;€ € 166,90
30/01/2025 16:00:00;€ € 134,79
30/01/2025 15:00:00;€ € 133,09
30/01/2025 14:00:00;€ € 122,35
30/01/2025 13:00:00;€ € 113,30
30/01/2025 12:00:00;€ € 115,83
30/01/2025 11:00:00;€ € 123,25
30/01/2025 10:00:00;€ € 134,85
30/01/2025 9:00:00;€ € 152,00
30/01/2025 8:00:00;€ € 160,30
30/01/2025 7:00:00;€ € 148,12
30/01/2025 6:00:00;€ € 127,14
30/01/2025 5:00:00;€ € 94,88
30/01/2025 4:00:00;€ € 84,76
30/01/2025 3:00:00;€ € 89,07
30/01/2025 2:00:00;€ € 99,52
30/01/2025 1:00:00;€ € 105,36
30/01/2025 0:00:00;€ € 108,59
29/01/2025 23:00:00;€ € 101,06
29/01/2025 22:00:00;€ € 115,55
29/01/2025 21:00:00;€ € 124,43
29/01/2025 20:00:00;€ € 134,10
29/01/2025 19:00:00;€ € 147,10
29/01/2025 18:00:00;€ € 151,50
29/01/2025 17:00:00;€ € 150,11
29/01/2025 16:00:00;€ € 125,54
29/01/2025 15:00:00;€ € 99,36
29/01/2025 14:00:00;€ € 84,60
29/01/2025 13:00:00;€ € 83,04
29/01/2025 12:00:00;€ € 82,05
