Date;Euro
31/08/2025 23:00:00;€ € 73,18
31/08/2025 22:00:00;€ € 83,82
31/08/2025 21:00:00;€ € 89,81
31/08/2025 20:00:00;€ € 88,16
31/08/2025 19:00:00;€ € 82,08
31/08/2025 18:00:00;€ € 65,59
31/08/2025 17:00:00;€ € 56,39
31/08/2025 16:00:00;€ € 18,78
31/08/2025 15:00:00;€ € 0,00
31/08/2025 14:00:00;€ € -0,60
31/08/2025 13:00:00;€ € -0,93
31/08/2025 12:00:00;€ € -0,07
31/08/2025 11:00:00;€ € 0,01
31/08/2025 10:00:00;€ € 0,03
31/08/2025 9:00:00;€ € 4,78
31/08/2025 8:00:00;€ € 22,25
31/08/2025 7:00:00;€ € 48,14
31/08/2025 6:00:00;€ € 48,05
31/08/2025 5:00:00;€ € 47,14
31/08/2025 4:00:00;€ € 29,04
31/08/2025 3:00:00;€ € 31,34
31/08/2025 2:00:00;€ € 35,55
31/08/2025 1:00:00;€ € 39,27
31/08/2025 0:00:00;€ € 44,91
30/08/2025 23:00:00;€ € 60,03
30/08/2025 22:00:00;€ € 68,32
30/08/2025 21:00:00;€ € 75,00
30/08/2025 20:00:00;€ € 93,69
30/08/2025 19:00:00;€ € 84,61
30/08/2025 18:00:00;€ € 78,34
30/08/2025 17:00:00;€ € 59,12
30/08/2025 16:00:00;€ € 7,00
30/08/2025 15:00:00;€ € -0,36
30/08/2025 14:00:00;€ € -0,01
30/08/2025 13:00:00;€ € -0,01
30/08/2025 12:00:00;€ € 0,00
30/08/2025 11:00:00;€ € 5,23
30/08/2025 10:00:00;€ € 29,15
30/08/2025 9:00:00;€ € 64,08
30/08/2025 8:00:00;€ € 78,50
30/08/2025 7:00:00;€ € 72,00
30/08/2025 6:00:00;€ € 76,19
30/08/2025 5:00:00;€ € 68,62
30/08/2025 4:00:00;€ € 69,38
30/08/2025 3:00:00;€ € 81,51
30/08/2025 2:00:00;€ € 75,65
30/08/2025 1:00:00;€ € 76,27
30/08/2025 0:00:00;€ € 84,50
29/08/2025 23:00:00;€ € 86,27
29/08/2025 22:00:00;€ € 95,00
29/08/2025 21:00:00;€ € 82,44
29/08/2025 20:00:00;€ € 95,50
29/08/2025 19:00:00;€ € 96,35
29/08/2025 18:00:00;€ € 60,24
29/08/2025 17:00:00;€ € 76,59
29/08/2025 16:00:00;€ € 61,69
29/08/2025 15:00:00;€ € 56,13
29/08/2025 14:00:00;€ € 42,00
29/08/2025 13:00:00;€ € 37,88
29/08/2025 12:00:00;€ € 48,08
29/08/2025 11:00:00;€ € 54,80
29/08/2025 10:00:00;€ € 60,84
29/08/2025 9:00:00;€ € 66,28
29/08/2025 8:00:00;€ € 80,14
29/08/2025 7:00:00;€ € 79,08
29/08/2025 6:00:00;€ € 62,93
29/08/2025 5:00:00;€ € 69,11
29/08/2025 4:00:00;€ € 62,50
29/08/2025 3:00:00;€ € 63,88
29/08/2025 2:00:00;€ € 73,34
29/08/2025 1:00:00;€ € 73,24
29/08/2025 0:00:00;€ € 84,31
28/08/2025 23:00:00;€ € 86,09
28/08/2025 22:00:00;€ € 99,47
28/08/2025 21:00:00;€ € 102,11
28/08/2025 20:00:00;€ € 104,31
28/08/2025 19:00:00;€ € 93,62
28/08/2025 18:00:00;€ € 77,24
28/08/2025 17:00:00;€ € 50,08
28/08/2025 16:00:00;€ € 69,14
28/08/2025 15:00:00;€ € 73,64
28/08/2025 14:00:00;€ € 74,63
28/08/2025 13:00:00;€ € 75,12
