Date;Euro
31/08/2021 23:00:00;€ € 99,10
31/08/2021 22:00:00;€ € 106,40
31/08/2021 21:00:00;€ € 132,72
31/08/2021 20:00:00;€ € 134,90
31/08/2021 19:00:00;€ € 134,07
31/08/2021 18:00:00;€ € 123,81
31/08/2021 17:00:00;€ € 110,45
31/08/2021 16:00:00;€ € 95,51
31/08/2021 15:00:00;€ € 95,24
31/08/2021 14:00:00;€ € 97,20
31/08/2021 13:00:00;€ € 104,66
31/08/2021 12:00:00;€ € 113,61
31/08/2021 11:00:00;€ € 116,19
31/08/2021 10:00:00;€ € 125,13
31/08/2021 9:00:00;€ € 135,84
31/08/2021 8:00:00;€ € 137,02
31/08/2021 7:00:00;€ € 142,65
31/08/2021 6:00:00;€ € 115,00
31/08/2021 5:00:00;€ € 94,40
31/08/2021 4:00:00;€ € 93,42
31/08/2021 3:00:00;€ € 88,94
31/08/2021 2:00:00;€ € 87,54
31/08/2021 1:00:00;€ € 90,02
31/08/2021 0:00:00;€ € 94,87
30/08/2021 23:00:00;€ € 104,28
30/08/2021 22:00:00;€ € 112,16
30/08/2021 21:00:00;€ € 127,41
30/08/2021 20:00:00;€ € 130,04
30/08/2021 19:00:00;€ € 128,48
30/08/2021 18:00:00;€ € 116,74
30/08/2021 17:00:00;€ € 109,58
30/08/2021 16:00:00;€ € 100,99
30/08/2021 15:00:00;€ € 101,00
30/08/2021 14:00:00;€ € 104,94
30/08/2021 13:00:00;€ € 112,60
30/08/2021 12:00:00;€ € 122,00
30/08/2021 11:00:00;€ € 126,10
30/08/2021 10:00:00;€ € 128,53
30/08/2021 9:00:00;€ € 132,92
30/08/2021 8:00:00;€ € 131,92
30/08/2021 7:00:00;€ € 125,85
30/08/2021 6:00:00;€ € 109,33
30/08/2021 5:00:00;€ € 79,64
30/08/2021 4:00:00;€ € 78,10
30/08/2021 3:00:00;€ € 72,12
30/08/2021 2:00:00;€ € 76,57
30/08/2021 1:00:00;€ € 78,73
30/08/2021 0:00:00;€ € 79,70
29/08/2021 23:00:00;€ € 86,57
29/08/2021 22:00:00;€ € 91,65
29/08/2021 21:00:00;€ € 95,77
29/08/2021 20:00:00;€ € 101,66
29/08/2021 19:00:00;€ € 101,06
29/08/2021 18:00:00;€ € 84,91
29/08/2021 17:00:00;€ € 72,52
29/08/2021 16:00:00;€ € 49,92
29/08/2021 15:00:00;€ € 53,19
29/08/2021 14:00:00;€ € 63,20
29/08/2021 13:00:00;€ € 65,11
29/08/2021 12:00:00;€ € 81,99
29/08/2021 11:00:00;€ € 76,15
29/08/2021 10:00:00;€ € 76,16
29/08/2021 9:00:00;€ € 69,80
29/08/2021 8:00:00;€ € 69,02
29/08/2021 7:00:00;€ € 62,21
29/08/2021 6:00:00;€ € 68,95
29/08/2021 5:00:00;€ € 60,13
