Date;Euro
28/02/2025 23:00:00;€ € 116,04
28/02/2025 22:00:00;€ € 124,37
28/02/2025 21:00:00;€ € 130,36
28/02/2025 20:00:00;€ € 138,34
28/02/2025 19:00:00;€ € 154,81
28/02/2025 18:00:00;€ € 140,76
28/02/2025 17:00:00;€ € 131,95
28/02/2025 16:00:00;€ € 122,13
28/02/2025 15:00:00;€ € 108,99
28/02/2025 14:00:00;€ € 98,07
28/02/2025 13:00:00;€ € 95,70
28/02/2025 12:00:00;€ € 100,42
28/02/2025 11:00:00;€ € 108,47
28/02/2025 10:00:00;€ € 120,94
28/02/2025 9:00:00;€ € 138,06
28/02/2025 8:00:00;€ € 157,01
28/02/2025 7:00:00;€ € 143,63
28/02/2025 6:00:00;€ € 124,76
28/02/2025 5:00:00;€ € 110,27
28/02/2025 4:00:00;€ € 109,80
28/02/2025 3:00:00;€ € 106,41
28/02/2025 2:00:00;€ € 109,38
28/02/2025 1:00:00;€ € 110,54
28/02/2025 0:00:00;€ € 115,25
27/02/2025 23:00:00;€ € 110,31
27/02/2025 22:00:00;€ € 115,60
27/02/2025 21:00:00;€ € 123,19
27/02/2025 20:00:00;€ € 136,88
27/02/2025 19:00:00;€ € 155,80
27/02/2025 18:00:00;€ € 153,78
27/02/2025 17:00:00;€ € 134,47
27/02/2025 16:00:00;€ € 120,73
27/02/2025 15:00:00;€ € 106,30
27/02/2025 14:00:00;€ € 100,90
27/02/2025 13:00:00;€ € 103,26
27/02/2025 12:00:00;€ € 99,19
27/02/2025 11:00:00;€ € 107,27
27/02/2025 10:00:00;€ € 123,84
27/02/2025 9:00:00;€ € 138,58
27/02/2025 8:00:00;€ € 159,23
27/02/2025 7:00:00;€ € 148,38
27/02/2025 6:00:00;€ € 115,74
27/02/2025 5:00:00;€ € 105,45
27/02/2025 4:00:00;€ € 100,41
27/02/2025 3:00:00;€ € 99,61
27/02/2025 2:00:00;€ € 101,25
27/02/2025 1:00:00;€ € 103,81
27/02/2025 0:00:00;€ € 101,83
26/02/2025 23:00:00;€ € 112,71
26/02/2025 22:00:00;€ € 121,19
26/02/2025 21:00:00;€ € 117,71
26/02/2025 20:00:00;€ € 134,35
26/02/2025 19:00:00;€ € 157,71
26/02/2025 18:00:00;€ € 145,34
26/02/2025 17:00:00;€ € 123,42
26/02/2025 16:00:00;€ € 117,41
26/02/2025 15:00:00;€ € 109,37
26/02/2025 14:00:00;€ € 93,83
26/02/2025 13:00:00;€ € 92,33
26/02/2025 12:00:00;€ € 98,26
26/02/2025 11:00:00;€ € 108,08
26/02/2025 10:00:00;€ € 127,52
26/02/2025 9:00:00;€ € 141,17
26/02/2025 8:00:00;€ € 155,69
26/02/2025 7:00:00;€ € 146,82
26/02/2025 6:00:00;€ € 126,16
26/02/2025 5:00:00;€ € 111,55
26/02/2025 4:00:00;€ € 108,24
26/02/2025 3:00:00;€ € 107,21
26/02/2025 2:00:00;€ € 109,82
26/02/2025 1:00:00;€ € 109,99
26/02/2025 0:00:00;€ € 116,82
25/02/2025 23:00:00;€ € 110,61
25/02/2025 22:00:00;€ € 124,77
25/02/2025 21:00:00;€ € 129,18
25/02/2025 20:00:00;€ € 144,92
25/02/2025 19:00:00;€ € 161,59
25/02/2025 18:00:00;€ € 167,78
25/02/2025 17:00:00;€ € 143,71
25/02/2025 16:00:00;€ € 122,92
25/02/2025 15:00:00;€ € 127,95
25/02/2025 14:00:00;€ € 117,99
25/02/2025 13:00:00;€ € 112,58
25/02/2025 12:00:00;€ € 114,82
25/02/2025 11:00:00;€ € 119,37
25/02/2025 10:00:00;€ € 131,91
25/02/2025 9:00:00;€ € 146,70
25/02/2025 8:00:00;€ € 153,26
25/02/2025 7:00:00;€ € 142,77
25/02/2025 6:00:00;€ € 125,82
25/02/2025 5:00:00;€ € 102,31
25/02/2025 4:00:00;€ € 92,52
