Date;Euro
30/04/2021 23:00:00;€ € 68,86
30/04/2021 22:00:00;€ € 75,23
30/04/2021 21:00:00;€ € 78,71
30/04/2021 20:00:00;€ € 80,96
30/04/2021 19:00:00;€ € 79,06
30/04/2021 18:00:00;€ € 75,55
30/04/2021 17:00:00;€ € 69,64
30/04/2021 16:00:00;€ € 63,33
30/04/2021 15:00:00;€ € 62,27
30/04/2021 14:00:00;€ € 63,38
30/04/2021 13:00:00;€ € 66,91
30/04/2021 12:00:00;€ € 73,81
30/04/2021 11:00:00;€ € 75,51
30/04/2021 10:00:00;€ € 77,73
30/04/2021 9:00:00;€ € 83,86
30/04/2021 8:00:00;€ € 89,96
30/04/2021 7:00:00;€ € 84,09
30/04/2021 6:00:00;€ € 74,00
30/04/2021 5:00:00;€ € 65,40
30/04/2021 4:00:00;€ € 60,31
30/04/2021 3:00:00;€ € 58,94
30/04/2021 2:00:00;€ € 60,39
30/04/2021 1:00:00;€ € 62,71
30/04/2021 0:00:00;€ € 65,71
29/04/2021 23:00:00;€ € 63,02
29/04/2021 22:00:00;€ € 66,89
29/04/2021 21:00:00;€ € 81,05
29/04/2021 20:00:00;€ € 82,47
29/04/2021 19:00:00;€ € 77,17
29/04/2021 18:00:00;€ € 66,79
29/04/2021 17:00:00;€ € 59,61
29/04/2021 16:00:00;€ € 51,06
29/04/2021 15:00:00;€ € 45,00
29/04/2021 14:00:00;€ € 38,94
29/04/2021 13:00:00;€ € 49,36
29/04/2021 12:00:00;€ € 56,00
29/04/2021 11:00:00;€ € 61,05
29/04/2021 10:00:00;€ € 65,87
29/04/2021 9:00:00;€ € 83,28
29/04/2021 8:00:00;€ € 85,08
29/04/2021 7:00:00;€ € 79,90
29/04/2021 6:00:00;€ € 75,43
29/04/2021 5:00:00;€ € 57,87
29/04/2021 4:00:00;€ € 52,04
29/04/2021 3:00:00;€ € 52,07
29/04/2021 2:00:00;€ € 53,43
29/04/2021 1:00:00;€ € 57,83
29/04/2021 0:00:00;€ € 64,18
28/04/2021 23:00:00;€ € 56,66
28/04/2021 22:00:00;€ € 78,28
28/04/2021 21:00:00;€ € 80,75
28/04/2021 20:00:00;€ € 78,79
28/04/2021 19:00:00;€ € 77,99
28/04/2021 18:00:00;€ € 71,35
28/04/2021 17:00:00;€ € 65,71
28/04/2021 16:00:00;€ € 53,48
28/04/2021 15:00:00;€ € 48,88
28/04/2021 14:00:00;€ € 48,20
