Date;Euro
30/04/2020 23:00:00;€ € 12,81
30/04/2020 22:00:00;€ € 15,59
30/04/2020 21:00:00;€ € 18,56
30/04/2020 20:00:00;€ € 20,67
30/04/2020 19:00:00;€ € 20,07
30/04/2020 18:00:00;€ € 15,45
30/04/2020 17:00:00;€ € 15,80
30/04/2020 16:00:00;€ € 10,99
30/04/2020 15:00:00;€ € 7,49
30/04/2020 14:00:00;€ € 6,67
30/04/2020 13:00:00;€ € 8,67
30/04/2020 12:00:00;€ € 12,25
30/04/2020 11:00:00;€ € 13,01
30/04/2020 10:00:00;€ € 13,03
30/04/2020 9:00:00;€ € 16,10
30/04/2020 8:00:00;€ € 15,86
30/04/2020 7:00:00;€ € 16,29
30/04/2020 6:00:00;€ € 12,60
30/04/2020 5:00:00;€ € 10,61
30/04/2020 4:00:00;€ € 9,05
30/04/2020 3:00:00;€ € 9,11
30/04/2020 2:00:00;€ € 9,42
30/04/2020 1:00:00;€ € 11,06
30/04/2020 0:00:00;€ € 13,32
29/04/2020 23:00:00;€ € 20,96
29/04/2020 22:00:00;€ € 19,30
29/04/2020 21:00:00;€ € 20,25
29/04/2020 20:00:00;€ € 20,49
29/04/2020 19:00:00;€ € 24,31
29/04/2020 18:00:00;€ € 18,00
29/04/2020 17:00:00;€ € 15,00
29/04/2020 16:00:00;€ € 13,62
29/04/2020 15:00:00;€ € 11,21
29/04/2020 14:00:00;€ € 12,22
29/04/2020 13:00:00;€ € 14,30
29/04/2020 12:00:00;€ € 20,39
29/04/2020 11:00:00;€ € 19,69
29/04/2020 10:00:00;€ € 18,84
29/04/2020 9:00:00;€ € 20,94
29/04/2020 8:00:00;€ € 21,26
29/04/2020 7:00:00;€ € 19,00
29/04/2020 6:00:00;€ € 16,84
29/04/2020 5:00:00;€ € 15,26
29/04/2020 4:00:00;€ € 13,58
29/04/2020 3:00:00;€ € 13,54
29/04/2020 2:00:00;€ € 13,62
29/04/2020 1:00:00;€ € 14,84
29/04/2020 0:00:00;€ € 19,04
28/04/2020 23:00:00;€ € 21,03
28/04/2020 22:00:00;€ € 24,09
28/04/2020 21:00:00;€ € 25,85
28/04/2020 20:00:00;€ € 25,28
28/04/2020 19:00:00;€ € 24,99
